url,region,condition,rooms,rent,year_construction,space,cold_rent,utilities,heating_costs,security_deposit,parking_space,renovated_date,property_condition,furnishing,heating_type,energy_sources,energy_certificate,type_of_certificate,energy_requirement,efficiency_class,tags
https://www.immobilienscout24.de/expose/102766942,Wedding,mint_condition,1,771,2017,20.5,,,,,,,Mint Condition,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/83490147,Tiergarten,no_information,4,1571.44,1900,104.39,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/102344341,Wedding,first_time_use,1,680,2017,20.5,,,,,,,New,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/101772157,Wedding,mint_condition,1,803,2017,24.1,,,,,,,Mint Condition,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/103333338,Wedding,mint_condition,1,793,2017,20.5,,,,,,,Mint Condition,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/83506238,Wilmersdorf,no_information,3,1557.28,1912,80.84,971€,+183€,in,,,,,,Central Heating,,,Verbrauchsausweis End­energie­verbrauch 105 kWh/(m²*a),,D,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116324555,Charlottenburg,first_time_use_after_refurbishment,4,2320,1900,160,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/78865254,Wilmersdorf,no_information,3,1301.13,1900,71.97,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/106589903,Wedding,mint_condition,1,730,2017,20.5,,,,,,,Mint Condition,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115644061,Neukölln,no_information,2,1010.31,1910,73.21,"805,31€",+205€,in,,,,,,Central Heating,Öl,,"Verbrauchsausweis Energie­ver­brauchs­kennwert 136,3 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/55331515,Wilmersdorf,well_kept,3,1930.38,1991,117.04,"1.521,52€","+408,86€",in,3,145€,,Groomed,,Central Heating,Fernwärme,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116458363,Charlottenburg,well_kept,2,705.92,1965,45.21,"575,92€",+130€,nicht,"1.727,76",,2019,Groomed,Normale Qualität,Floor Heating,Gas Energieausweis liegt vor,liegt vor,"Verbrauchsausweis Energie­ver­brauchs­kennwert 144,2 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116548077,Kreuzberg,mint_condition,2,1181.3,2019,60.55,,,,,,,Mint Condition,,Central Heating,,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/114520608,Mitte,no_information,3,2043.49,1879,83.78,"1.843,16€","+200,13€",in,,,,,,Central Heating,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115136455,Mitte,mint_condition,3,3568.5,2014,170.45,"3.008,15€",+560€,in,"9025,50","166,6€",,Mint Condition,Gehobene Qualität,Central Heating,"Fernwärme, Strom Energieausweis liegt vor",liegt vor,Bedarfsausweis,132 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/110633387,Prenzlauer,no_information,2,2115,1906,79.56,1.91€,+205€,in,,,,,,,Gas,,Bedarfsausweis,"87,8 kWh/(m²*a)",C,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/114318899,Tiergarten,no_information,2,1530,2018,64,,,,,,2018,,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/111569019,Prenzlauer,no_information,4,2734,1906,99.39,2.49€,+249€,in,,,,,,,Gas,,Bedarfsausweis,"87,8 kWh/(m²*a)",C,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116331945,Tiergarten,mint_condition,2,1500,2018,43.5,,,,,,,Mint Condition,Luxus,Underfloor Heating,Erdwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,59 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116556175,Charlottenburg,mint_condition,2,1490,1917,49,,,,,,2016,Mint Condition,,Central Heating,Gas Energieausweis liegt vor,liegt vor,Verbrauchsausweis Energie­ver­brauchs­kennwert 139 kWh/(m²*a),,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116326805,Kreuzberg,mint_condition,2,1040.51,2019,53.03,,,,,,,Mint Condition,,Central Heating,,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
